emoji,english,category,subcategory,hebrew_masculine,translit_masculine,hebrew_feminine,translit_feminine
🌜,Last Quarter Moon Face,Nature,Astronomy,יָרֵחַ עִם פָּנִים,yareach im panim,,
🌝,Full Moon Face,Nature,Astronomy,יָרֵחַ מָלֵא עִם פָּנִים,yareach male im panim,,
🌞,Sun with Face,Nature,Astronomy,שֶׁמֶשׁ עִם פָּנִים,shemesh im panim,,
🪐,Ringed Planet,Nature,Astronomy,כּוֹכָב לֶכֶת עִם טַבָּעוֹת,kochav lechet im tabaot,,
☄️,Comet,Nature,Astronomy,,,שָׁבִיט,shavit
🌠,Shooting Star,Nature,Astronomy,כּוֹכָב נוֹפֵל,kochav nofel,,
🌡️,Thermometer,Nature,Weather,מַד-חֹם,mad-chom,,
🌤️,Sun Behind Small Cloud,Nature,Weather,שֶׁמֶשׁ מֵאֲחוֹרֵי עָנָן,shemesh meachorey anan,,
⛅,Sun Behind Cloud,Nature,Weather,שֶׁמֶשׁ עִם עֲנָנִים,shemesh im ananim,,
🌥️,Sun Behind Large Cloud,Nature,Weather,שֶׁמֶשׁ מֵאֲחוֹרֵי עָנָן גָּדוֹל,shemesh meachorey anan gadol,,
🌦️,Sun Behind Rain Cloud,Nature,Weather,שֶׁמֶשׁ עִם עֲנַן גֶּשֶׁם,shemesh im anan geshem,,
☔,Umbrella with Rain Drops,Nature,Weather,מַטְרִיָּה בַּגֶּשֶׁם,matriya bageshem,,
⛱️,Umbrella on Ground,Nature,Weather,שִׁמְשִׁיָּה,shimshiya,,
☃️,Snowman,Nature,Weather,,,בֻּבַּת שֶׁלֶג,bubat sheleg
⌛,Hourglass Done,Time,Clock,שְׁעוֹן חוֹל,sheon chol,,
⏳,Hourglass Not Done,Time,Clock,שְׁעוֹן חוֹל זוֹרֵם,sheon chol zorem,,
⏱️,Stopwatch,Time,Clock,שְׁעוֹן עֶצֶר,sheon etzer,,
⏲️,Timer Clock,Time,Clock,טַיְמֵר,taymer,,
🕰️,Mantelpiece Clock,Time,Clock,שְׁעוֹן מַדָּף,sheon madaf,,
🕛,12 Oclock,Time,Clock,שְׁתֵּים-עֶשְׂרֵה,sheteym-esre,,
🕧,12:30,Time,Clock,שְׁתֵּים-עֶשְׂרֵה וָחֵצִי,sheteym-esre vachetzi,,
🕐,1 Oclock,Time,Clock,אַחַת,achat,,
🕜,1:30,Time,Clock,אַחַת וָחֵצִי,achat vachetzi,,
🕑,2 Oclock,Time,Clock,שְׁתַּיִם,shetayim,,
🕝,2:30,Time,Clock,שְׁתַּיִם וָחֵצִי,shetayim vachetzi,,
🕒,3 Oclock,Time,Clock,שָׁלוֹשׁ,shalosh,,
🕞,3:30,Time,Clock,שָׁלוֹשׁ וָחֵצִי,shalosh vachetzi,,
🕓,4 Oclock,Time,Clock,אַרְבַּע,arba,,
🕟,4:30,Time,Clock,אַרְבַּע וָחֵצִי,arba vachetzi,,
🕔,5 Oclock,Time,Clock,חָמֵשׁ,chamesh,,
🕠,5:30,Time,Clock,חָמֵשׁ וָחֵצִי,chamesh vachetzi,,
🕕,6 Oclock,Time,Clock,שֵׁשׁ,shesh,,
🕡,6:30,Time,Clock,שֵׁשׁ וָחֵצִי,shesh vachetzi,,
🕖,7 Oclock,Time,Clock,שֶׁבַע,sheva,,
🕢,7:30,Time,Clock,שֶׁבַע וָחֵצִי,sheva vachetzi,,
🕗,8 Oclock,Time,Clock,שְׁמוֹנֶה,shemone,,
🕣,8:30,Time,Clock,שְׁמוֹנֶה וָחֵצִי,shemone vachetzi,,
🕘,9 Oclock,Time,Clock,תֵּשַׁע,tesha,,
🕤,9:30,Time,Clock,תֵּשַׁע וָחֵצִי,tesha vachetzi,,
🕙,10 Oclock,Time,Clock,עֶשֶׂר,eser,,
🕥,10:30,Time,Clock,עֶשֶׂר וָחֵצִי,eser vachetzi,,
🕚,11 Oclock,Time,Clock,אַחַת-עֶשְׂרֵה,achat-esre,,
🕦,11:30,Time,Clock,אַחַת-עֶשְׂרֵה וָחֵצִי,achat-esre vachetzi,,
♈,Aries,Symbol,Zodiac,,,טָלֶה,tale
♉,Taurus,Symbol,Zodiac,שׁוֹר,shor,,
♊,Gemini,Symbol,Zodiac,תְּאוֹמִים,teomim,,
♋,Cancer,Symbol,Zodiac,סַרְטָן,sartan,,
♌,Leo,Symbol,Zodiac,אַרְיֵה,arye,,
♍,Virgo,Symbol,Zodiac,,,בְּתוּלָה,betula
♎,Libra,Symbol,Zodiac,מֹאזְנַיִם,moznayim,,
♏,Scorpio,Symbol,Zodiac,עַקְרָב,akrav,,
♐,Sagittarius,Symbol,Zodiac,קַשָּׁת,kashat,,
♑,Capricorn,Symbol,Zodiac,גְּדִי,gedi,,
♒,Aquarius,Symbol,Zodiac,דְּלִי,deli,,
♓,Pisces,Symbol,Zodiac,דָּגִים,dagim,,
⛎,Ophiuchus,Symbol,Zodiac,נוֹשֵׂא הַנָּחָשׁ,nose hanachash,,
🥻,Sari,Object,Clothing,סָארִי,sari,,
🩱,One-Piece Swimsuit,Object,Clothing,בֶּגֶד יָם שָׁלֵם,beged yam shalem,,
🩲,Briefs,Object,Clothing,תַּחְתּוֹנִים,tachtonim,,
🩳,Shorts,Object,Clothing,מִכְנְסֵי בֶּרְמוּדָה,michnsey bermuda,,
👙,Bikini,Object,Clothing,בִּיקִינִי,bikini,,
👚,Womans Clothes,Object,Clothing,,,חֻלְצַת אִשָּׁה,chultzat isha
🩴,Thong Sandal,Object,Clothing,כַּפְכַּף,kafkaf,,
🥿,Flat Shoe,Object,Clothing,,,נַעַל שְׁטוּחָה,naal shetucha
🩰,Ballet Shoes,Object,Clothing,נַעֲלֵי בָּלֶט,naaley balet,,
🪖,Military Helmet,Object,Clothing,קַסְדָּה צְבָאִית,kasda tzevait,,
🎓,Graduation Cap,Object,Clothing,כּוֹבַע מַסְכֵּם,kova maskem,,
⛑️,Rescue Helmet,Object,Clothing,קַסְדַּת הַצָּלָה,kasdat hatzala,,
👝,Clutch Bag,Object,Clothing,אַרְנָק קָטָן,arnak katan,,
💼,Briefcase,Object,Clothing,תִּיק עֲבוֹדָה,tik avoda,,
👛,Purse,Object,Clothing,,,אַרְנָקִית,arnakit
🛍️,Shopping Bags,Object,Clothing,שַׂקִּית קְנִיּוֹת,sakit keniyot,,
📲,Mobile Phone with Arrow,Object,Tech,טֵלֵפוֹן עִם חֵץ,telefon im chetz,,
📞,Telephone Receiver,Object,Tech,שְׁפוֹפֶרֶת,shefoferet,,
📟,Pager,Object,Tech,בִּיפֶּר,biper,,
📠,Fax Machine,Object,Tech,,,מְכוֹנַת פַקְס,mechonat paks
🪫,Low Battery,Object,Tech,,,סוֹלְלָה חֲלָשָׁה,solla chalasha
💽,Computer Disk,Object,Tech,תַּקְלִיטוֹן,takliton,,
💾,Floppy Disk,Object,Tech,דִּיסְקֶט,disket,,
💿,Optical Disk,Object,Tech,דִּיסְק,disk,,
📀,DVD,Object,Tech,דִּי.וִי.דִי.,di.vi.di.,,
🧮,Abacus,Object,Tech,חֶשְׁבּוֹנִיָּה,cheshboniya,,
🎥,Movie Camera,Object,Tech,מַצְלֵמַת קוֹלְנוֹעַ,matzlemat kolnoa,,
🎞️,Film Frames,Object,Tech,מִסְגְּרוֹת סֶרֶט,misgrot seret,,
📽️,Film Projector,Object,Tech,מַקְרֵן,makren,,
🎬,Clapper Board,Object,Tech,לוּחַ קוֹלְנוֹעַ,luach kolnoa,,
📸,Camera with Flash,Object,Tech,,,מַצְלֵמָה עִם פְלָאשׁ,matzlema im pelash
📹,Video Camera,Object,Tech,מַצְלֵמַת וִידֵאוֹ,matzlemat video,,
📼,Videocassette,Object,Tech,,,קַסֶּטַת וִידֵאוֹ,kasetat video
🔍,Magnifying Glass Tilted Left,Object,Magnifier,זְכוּכִית מַגְדֶּלֶת,zechuchit magdelet,,
🔎,Magnifying Glass Tilted Right,Object,Magnifier,זְכוּכִית מַגְדֶּלֶת,zechuchit magdelet,,
🪔,Diya Lamp,Object,Light,,,מְנוֹרַת שֶׁמֶן,menorat shemen
🏮,Red Paper Lantern,Object,Light,פָּנַס נְיָר אָדוֹם,panas neyar adom,,
📔,Notebook with Decorative Cover,Object,Book,,,מַחְבֶּרֶת מְעֻטֶּרֶת,machberet meuteret
📓,Notebook,Object,Book,,,מַחְבֶּרֶת,machberet
📒,Ledger,Object,Book,פִּנְקָס,pinkas,,
📃,Page with Curl,Object,Paper,דַּף מִתְקָפֵּל,daf mitkapel,,
📄,Page Facing Up,Object,Paper,דַּף,daf,,
📊,Bar Chart,Object,Paper,תַּרְשִׁים עַמּוּדוֹת,tarshim amudot,,
📈,Chart Increasing,Object,Paper,תַּרְשִׁים עוֹלֶה,tarshim ole,,
📉,Chart Decreasing,Object,Paper,תַּרְשִׁים יוֹרֵד,tarshim yored,,
📇,Card Index,Time,Calendar,קַרְטֶסֶת,karteset,,
🗃️,Card File Box,Object,Paper,קֻפְסַת כַּרְטִיסִיּוֹת,kufsat kartisiyot,,
🗄️,File Cabinet,Object,Paper,אֲרוֹן תִּיקִים,aron tikim,,
🗑️,Wastebasket,Object,Paper,פַּח אַשְׁפָּה,pach ashpa,,
📂,Open File Folder,Object,Paper,תִּיקִיָּה פְּתוּחָה,tikiya petucha,,
🗂️,Card Index Dividers,Object,Paper,חוֹצְצֵי כַּרְטִיסִיָּה,chotztzey kartisiya,,
🗞️,Rolled-Up Newspaper,Object,Paper,עִתּוֹן מְגֻלְגָּל,iton megulgal,,
📑,Bookmark Tabs,Object,Paper,סִימָנִיּוֹת,simaniyot,,
🔗,Link,Object,Paper,קִשּׁוּר,kishur,,
📐,Triangular Ruler,Object,Writing,סַרְגֵּל מְשֻׁלָּשׁ,sargel meshulash,,
📆,Tear-Off Calendar,Time,Calendar,לוּחַ קְרִיעָה,luach keriya,,
🗓️,Spiral Calendar,Time,Calendar,לוּחַ שָׁנָה,luach shana,,
🖇️,Linked Paperclips,Object,Writing,מְהַדְּקֵי נְיָר,mehadkey neyar,,
📥,Inbox Tray,Object,Mail,מִגְדָּשׁ דּוֹאַר נִכְנָס,migdash doar nichnas,,
📤,Outbox Tray,Object,Mail,מִגְדָּשׁ דּוֹאַר יוֹצֵא,migdash doar yotze,,
📦,Package,Object,Mail,,,חֲבִילָה,chavila
📫,Closed Mailbox with Raised Flag,Object,Mail,תֵּבַת דֹּאַר סְגוּרָה,tevat doar segura,,
📪,Closed Mailbox with Lowered Flag,Object,Mail,תֵּבַת דֹּאַר רֵיקָה,tevat doar reyka,,
📬,Open Mailbox with Raised Flag,Object,Mail,תֵּבַת דֹּאַר פְּתוּחָה,tevat doar petucha,,
📭,Open Mailbox with Lowered Flag,Object,Mail,תֵּבַת דֹּאַר רֵיקָה,tevat doar reyka,,
📮,Postbox,Object,Mail,,,תֵּבַת מִכְתָּבִים,tevat michtavim
🗳️,Ballot Box with Ballot,Object,Mail,קַלְפִּי,kalpi,,
🪚,Carpentry Saw,Object,Tool,מַסּוֹר,masor,,
🪜,Ladder,Object,Tool,סֻלָּם,sulam,,
⚒️,Hammer and Pick,Object,Tool,פַּטִּישׁ וּמַכּוֹשׁ,patish umakosh,,
🛠️,Hammer and Wrench,Object,Tool,פַּטִּישׁ וּמַפְתֵּחַ,patish umafteach,,
⛏️,Pick,Object,Tool,מַכּוֹשׁ,makosh,,
🪝,Hook,Object,Tool,וָו,vav,,
⚖️,Balance Scale,Object,Tool,מֹאזְנַיִם,moznayim,,
🩺,Stethoscope,Object,Tool,סְטֵטוֹסְקוֹפּ,setetoskop,,
🩻,X-Ray,Object,Tool,צִלּוּם רֶנְטְגֶן,tzilum rentgen,,
🧬,DNA,Object,Tool,דִּי.אֶן.אֵיי.,di.en.eyy.,,
🔬,Microscope,Object,Tool,מִיקְרוֹסְקוֹפּ,mikroskop,,
🔭,Telescope,Object,Tool,טֵלֵסְקוֹפּ,teleskop,,
📡,Satellite Antenna,Object,Tool,אַנְטֵנַת לַוְיָן,antenat lavyan,,
💉,Syringe,Object,Tool,מַזְרֵק,mazrek,,
🩸,Drop of Blood,Object,Tool,טִפַּת דָּם,tipat dam,,
💊,Pill,Object,Tool,,,גְּלוּלָה,gelula
🧴,Lotion Bottle,Object,Tool,בַּקְבּוּק קְרֵם,bakbuk kerem,,
🧷,Safety Pin,Object,Tool,סִכַּת בִּטָּחוֹן,sikat bitachon,,
🧯,Fire Extinguisher,Object,Tool,מַטְפֵּה,matpe,,
🛌,Person in Bed,Object,Household,יָשֵׁן בְּמִטָּה,yashen bemita,יְשֵׁנָה בְּמִטָּה,yeshena bemita
🛀,Person Taking Bath,Object,Household,מִתְרַחֵץ בְּאַמְבַּטְיָה,mitrachetz beambatya,מִתְרַחֶצֶת בְּאַמְבַּטְיָה,mitrachetzet beambatya
🪠,Plunger,Object,Household,פּוֹמְפָּה,pompa,,
🪤,Mouse Trap,Object,Household,מַלְכֹּדֶת עַכְבָּרִים,malkodet achbarim,,
🪒,Razor,Object,Household,,,מְכוֹנַת גִּלּוּחַ,mechonat giluach
🪣,Bucket,Object,Household,דְּלִי,deli,,
🍽️,Fork and Knife with Plate,Object,Household,מַזְלֵג וְסַכִּין עִם צַלַּחַת,mazleg vesakin im tzalachat,,
🫙,Jar,Object,Household,,,צִנְצֶנֶת,tzintzenet
🕉️,Om,Religion,Religion,אוֹם,om,,
🪯,Khanda,Religion,Religion,חַ'נְדָּה,cha'nda,,
☦️,Orthodox Cross,Religion,Religion,צְלָב אוֹרְתּוֹדוֹקְסִי,tzelav ortodoksi,,
🔯,Six-Pointed Star with Dot,Religion,Religion,מָגֵן דָּוִד,magen david,,
☮️,Peace Symbol,Religion,Religion,סֵמֶל שָׁלוֹם,semel shalom,,
☯️,Yin Yang,Religion,Religion,יִין-יָאנְג,yin-yang,,
📿,Prayer Beads,Object,Clothing,חֲרוּזֵי תְּפִלָּה,charuzey tefila,,
🧿,Nazar Amulet,Religion,Religion,עַיִן הָרָע,ayin hara,,
🪪,Identification Card,Object,ID,,,תְּעוּדַת זֶהוּת,teudat zehut
🪧,Placard,Object,ID,,,שֶׁלֶט,shelet
🪙,Coin,Object,Money,מַטְבֵּעַ,matbea,,
💴,Yen Banknote,Object,Money,שְׁטָר יֶן,shetar yen,,
💶,Euro Banknote,Object,Money,שְׁטָר יוּרוֹ,shetar yuro,,
💷,Pound Banknote,Object,Money,שְׁטָר לִירָה,shetar lira,,
💸,Money with Wings,Object,Money,כֶּסֶף עִם כְּנָפַיִם,kesef im kenafayim,,
🧾,Receipt,Object,Money,קַבָּלָה,kabala,,
🟰,Heavy Equals Sign,Symbol,Math,סִימַן שִׁוְיוֹן,siman shivyon,,
💱,Currency Exchange,Symbol,Currency,הֶמָרַת מַטְבֵּעַ,hemarat matbea,,
💲,Heavy Dollar Sign,Symbol,Currency,סִימַן דּוֹלָר,siman dolar,,
™️,Trade Mark,Symbol,Trademark,סִימָן מִסְחָרִי,siman mischari,,
©️,Copyright,Symbol,Trademark,זְכוּת יוֹצְרִים,zechut yotzrim,,
®️,Registered,Symbol,Trademark,רָשׁוּם,rashum,,
〰️,Wavy Dash,Symbol,Punctuation,קַו גַּלִּי,kav gali,,
〽️,Part Alternation Mark,Symbol,Punctuation,סִימַן הַחְלָפָה,siman hachlafa,,
💠,Diamond with a Dot,Symbol,Decorative,יַהֲלוֹם עִם נְקֻדָּה,yahalom im nekuda,,
❗,Exclamation Mark,Symbol,Punctuation,סִימַן קְרִיאָה,siman keriya,,
❕,White Exclamation Mark,Symbol,Punctuation,סִימַן קְרִיאָה לָבָן,siman keriya lavan,,
❓,Question Mark,Symbol,Punctuation,סִימַן שְׁאֵלָה,siman sheela,,
❔,White Question Mark,Symbol,Punctuation,סִימַן שְׁאֵלָה לָבָן,siman sheela lavan,,
‼️,Double Exclamation Mark,Symbol,Punctuation,סִימַן קְרִיאָה כָּפוּל,siman keriya kaful,,
⁉️,Exclamation Question Mark,Symbol,Punctuation,סִימַן קְרִיאָה וּשְׁאֵלָה,siman keriya ushela,,
⚛️,Atom Symbol,Religion,Religion,סֵמֶל אָטוֹם,semel atom,,
♾️,Infinity,Symbol,Math,אֵינְסוֹף,eynsof,,
⚠️,Warning,Symbol,Warning,,,אַזְהָרָה,azhara
🚸,Children Crossing,Symbol,Warning,יְלָדִים חוֹצִים,yeladim chotzim,,
⛔,No Entry,Symbol,Warning,אֵין כְּנִיסָה,eyn kenisa,,
🚫,Prohibited,Symbol,Warning,אָסוּר,asur,,
🚳,No Bicycles,Symbol,Warning,אֵין אוֹפַנַּיִם,eyn ofanayim,,
🚭,No Smoking,Symbol,Warning,אָסוּר לְעַשֵּׁן,asur leashen,,
🚯,No Littering,Symbol,Warning,אָסוּר לִזְרֹק אַשְׁפָּה,asur lizrok ashpa,,
🚱,Non-Potable Water,Symbol,Warning,מַיִם לֹא לִשְׁתִיָּה,mayim lo lishtiya,,
🚷,No Pedestrians,Symbol,Warning,אֵין הוֹלְכֵי רֶגֶל,eyn holchey regel,,
📵,No Mobile Phones,Symbol,Warning,אָסוּר טֵלֵפוֹן,asur telefon,,
🔞,No One Under 18,Symbol,Warning,אָסוּר מִתַּחַת לְ-18,asur mitachat le-18,,
☢️,Radioactive,Symbol,Warning,,,קְרִינָה,kerina
☣️,Biohazard,Symbol,Warning,סַכָּנָה בִּיוֹלוֹגִית,sakana biyologit,,
⬆️,Up Arrow,Symbol,Arrow,חֵץ לְמַעְלָה,chetz lemala,,
↗️,Up-Right Arrow,Symbol,Arrow,חֵץ לְמַעְלָה יְמִינָה,chetz lemala yemina,,
➡️,Right Arrow,Symbol,Arrow,חֵץ יְמִינָה,chetz yemina,,
↘️,Down-Right Arrow,Symbol,Arrow,חֵץ לְמַטָּה יְמִינָה,chetz lemata yemina,,
⬇️,Down Arrow,Symbol,Arrow,חֵץ לְמַטָּה,chetz lemata,,
↙️,Down-Left Arrow,Symbol,Arrow,חֵץ לְמַטָּה שְׂמֹאלָה,chetz lemata semola,,
⬅️,Left Arrow,Symbol,Arrow,חֵץ שְׂמֹאלָה,chetz semola,,
↖️,Up-Left Arrow,Symbol,Arrow,חֵץ לְמַעְלָה שְׂמֹאלָה,chetz lemala semola,,
↕️,Up-Down Arrow,Symbol,Arrow,חֵץ לְמַעְלָה וּלְמַטָּה,chetz lemala ulmata,,
↔️,Left-Right Arrow,Symbol,Arrow,חֵץ יְמִינָה וּשְׂמֹאלָה,chetz yemina usmola,,
↩️,Right Arrow Curving Left,Symbol,Arrow,חֵץ פּוֹנֶה שְׂמֹאלָה,chetz pone semola,,
↪️,Left Arrow Curving Right,Symbol,Arrow,חֵץ פּוֹנֶה יְמִינָה,chetz pone yemina,,
⤴️,Arrow Curving Up,Symbol,Arrow,חֵץ עוֹלֶה,chetz ole,,
⤵️,Arrow Curving Down,Symbol,Arrow,חֵץ יוֹרֵד,chetz yored,,
🔃,Clockwise Vertical Arrows,Symbol,Arrow,חִצִּים מְסֻבָּבִים,chitzim mesubavim,,
🔄,Counterclockwise Arrows,Symbol,Arrow,חִצִּים נֶגְדִּיִּים,chitzim negdiyim,,
🔙,Back Arrow,Symbol,Arrow,חֵץ חֲזָרָה,chetz chazara,,
🔚,End Arrow,Symbol,Arrow,חֵץ סִיּוּם,chetz siyum,,
🔛,On! Arrow,Symbol,Arrow,חֵץ פָּעִיל,chetz pail,,
🔜,Soon Arrow,Symbol,Arrow,חֵץ בְּקָרוֹב,chetz bekarov,,
🔝,Top Arrow,Symbol,Arrow,חֵץ לְרֹאשׁ,chetz lerosh,,
♻️,Recycling Symbol,Symbol,Decorative,סֵמֶל מִחְזוּר,semel michzur,,
⚜️,Fleur-de-Lis,Symbol,Decorative,פְלֵר-דֶּה-לִיס,peler-de-lis,,
🔱,Trident Emblem,Symbol,Decorative,קִלְשׁוֹן,kilshon,,
📛,Name Badge,Object,ID,תַּג שֵׁם,tag shem,,
🔰,Japanese Symbol for Beginner,Symbol,Decorative,סֵמֶל מַתְחִיל,semel matchil,,
✅,Check Mark Button,Symbol,Button,,,וִי יָרֹק,vi yarok
☑️,Check Box with Check,Symbol,Button,תֵּבָה מְסֻמֶּנֶת,teva mesumenet,,
✔️,Check Mark,Symbol,Button,סִימַן וִי,siman vi,,
❌,Cross Mark,Symbol,Button,סִימַן אֵקְס,siman eks,,
❎,Cross Mark Button,Symbol,Button,כַּפְתּוֹר אֵקְס,kaftor eks,,
🔟,Keycap 10,Symbol,Number,מַקָּשׁ 10,makash 10,,
♀️,Female Sign,Symbol,Gender,סֵמֶל נְקֵבָה,semel nekeva,,
♂️,Male Sign,Symbol,Gender,סֵמֶל זָכָר,semel zachar,,
⚧️,Transgender Symbol,Symbol,Gender,סֵמֶל טְרָנְסְגֶּ'נְדֶּר,semel teransge'nder,,
♿,Wheelchair Symbol,Symbol,Gender,סֵמֶל נָגִישׁוּת,semel nagishut,,
🚹,Mens Room,Symbol,Restroom,שֵׁרוּתֵי גְּבָרִים,sherutey gevarim,,
🚺,Womens Room,Symbol,Restroom,שֵׁרוּתֵי נָשִׁים,sherutey nashim,,
🚻,Restroom,Symbol,Restroom,שֵׁרוּתִים,sherutim,,
🚼,Baby Symbol,Symbol,Restroom,סֵמֶל תִּינוֹק,semel tinok,,
🚾,Water Closet,Symbol,Restroom,בֵּית שִׁמּוּשׁ,beyt shimush,,
🎌,Crossed Flags,Flag,Special,דְּגָלִים מְשֻׁלָּבִים,degalim meshulavim,,
🏁,Chequered Flag,Flag,Special,דֶּגֶל מִשְׁבָּצוֹת,degel mishbatzot,,
🚩,Triangular Flag,Flag,Special,דֶּגֶל מְשֻׁלָּשׁ,degel meshulash,,
🏳️,White Flag,Flag,Special,דֶּגֶל לָבָן,degel lavan,,
🏴,Black Flag,Flag,Special,דֶּגֶל שָׁחֹר,degel shachor,,
🏳️‍🌈,Rainbow Flag,Flag,Special,דֶּגֶל גַּאֲוָה,degel gaava,,
🏳️‍⚧️,Transgender Flag,Flag,Special,דֶּגֶל טְרָנְסְגֶּ'נְדֶּר,degel teransge'nder,,
🏴‍☠️,Pirate Flag,Flag,Special,דֶּגֶל פִּירָטִים,degel piratim,,
🆎,AB Button (Blood Type),Symbol,Button,סוּג דָּם AB,sug dam AB,,
🆑,CL Button,Symbol,Button,כַּפְתּוֹר CL,kaftor CL,,
🆒,COOL Button,Symbol,Button,כַּפְתּוֹר קוּל,kaftor kul,,
🆓,FREE Button,Symbol,Button,כַּפְתּוֹר חִנָּם,kaftor chinam,,
🆕,NEW Button,Symbol,Button,כַּפְתּוֹר חָדָשׁ,kaftor chadash,,
🆖,NG Button,Symbol,Button,כַּפְתּוֹר NG,kaftor NG,,
🆗,OK Button,Symbol,Button,כַּפְתּוֹר OK,kaftor OK,,
🆘,SOS Button,Symbol,Button,כַּפְתּוֹר SOS,kaftor SOS,,
🆙,UP Button,Symbol,Button,כַּפְתּוֹר UP,kaftor UP,,
🆚,VS Button,Symbol,Button,כַּפְתּוֹר VS,kaftor VS,,
🅰️,A Button (Blood Type),Symbol,Button,סוּג דָּם A,sug dam A,,
🅱️,B Button (Blood Type),Symbol,Button,סוּג דָּם B,sug dam B,,
🅾️,O Button (Blood Type),Symbol,Button,סוּג דָּם O,sug dam O,,
🅿️,P Button,Symbol,Button,כַּפְתּוֹר חֲנָיָה,kaftor chanaya,,
ℹ️,Information,Symbol,Button,מֵידָע,meyda,,
Ⓜ️,Circled M,Symbol,Button,אוֹת M בְּעִגּוּל,ot M beigul,,
🔤,Input Latin Letters,Symbol,Button,אוֹתִיּוֹת לָטִינִיּוֹת,otiyot latiniyot,,
🔡,Input Latin Lowercase,Symbol,Button,אוֹתִיּוֹת קְטַנּוֹת,otiyot ketanot,,
🔠,Input Latin Uppercase,Symbol,Button,אוֹתִיּוֹת גְּדוֹלוֹת,otiyot gedolot,,
🔢,Input Numbers,Symbol,Button,מִסְפָּרִים,misparim,,
🔣,Input Symbols,Symbol,Button,סְמָלִים,semalim,,
🆔,ID Button,Symbol,Button,כַּפְתּוֹר זֶהוּת,kaftor zehut,,
▶️,Play Button,Symbol,Audio,כַּפְתּוֹר נַגֵּן,kaftor nagen,,
⏸️,Pause Button,Symbol,Audio,כַּפְתּוֹר הַשְׁהָיָה,kaftor hashhaya,,
⏯️,Play or Pause,Symbol,Audio,כַּפְתּוֹר נַגֵּן וְהַשְׁהֵה,kaftor nagen vehashhe,,
⏹️,Stop Button,Symbol,Audio,כַּפְתּוֹר עֲצֹר,kaftor atzor,,
⏺️,Record Button,Symbol,Audio,כַּפְתּוֹר הַקְלָטָה,kaftor haklata,,
⏭️,Next Track,Symbol,Audio,רְצוּעָה הַבָּאָה,retzua habaa,,
⏮️,Previous Track,Symbol,Audio,רְצוּעָה קוֹדֶמֶת,retzua kodemet,,
⏩,Fast Forward,Symbol,Audio,הָרְצָה מָהִירָה,hartza mahira,,
⏪,Fast Reverse,Symbol,Audio,הַחֲזָרָה מְהִירָה,hachazara mehira,,
⏫,Fast Up,Symbol,Audio,מָהִיר לְמַעְלָה,mahir lemala,,
⏬,Fast Down,Symbol,Audio,מָהִיר לְמַטָּה,mahir lemata,,
🔼,Upward Button,Symbol,Audio,כַּפְתּוֹר לְמַעְלָה,kaftor lemala,,
🔽,Downward Button,Symbol,Audio,כַּפְתּוֹר לְמַטָּה,kaftor lemata,,
🔀,Shuffle,Symbol,Audio,עִרְבּוּב,irbuv,,
🔁,Repeat,Symbol,Audio,חֲזָרָה,chazara,,
🔂,Repeat One,Symbol,Audio,חֲזָרָה אַחַת,chazara achat,,
🔇,Muted Speaker,Symbol,Audio,רַמְקוֹל מֻשְׁתָּק,ramkol mushtak,,
🔈,Speaker Low Volume,Symbol,Audio,רַמְקוֹל חַלָּשׁ,ramkol chalash,,
🔉,Speaker Medium Volume,Symbol,Audio,רַמְקוֹל בֵּינוֹנִי,ramkol beynoni,,
🔊,Speaker High Volume,Symbol,Audio,רַמְקוֹל חָזָק,ramkol chazak,,
🔔,Bell,Symbol,Audio,פַּעֲמוֹן,paamon,,
🔕,Bell with Slash,Symbol,Audio,פַּעֲמוֹן מֻשְׁתָּק,paamon mushtak,,
0️⃣,Keycap 0,Symbol,Number,אֶפֶס,efes,,
1️⃣,Keycap 1,Symbol,Number,אַחַת,achat,,
2️⃣,Keycap 2,Symbol,Number,שְׁתַּיִם,shetayim,,
3️⃣,Keycap 3,Symbol,Number,שָׁלוֹשׁ,shalosh,,
4️⃣,Keycap 4,Symbol,Number,אַרְבַּע,arba,,
5️⃣,Keycap 5,Symbol,Number,חָמֵשׁ,chamesh,,
6️⃣,Keycap 6,Symbol,Number,שֵׁשׁ,shesh,,
7️⃣,Keycap 7,Symbol,Number,שֶׁבַע,sheva,,
8️⃣,Keycap 8,Symbol,Number,שְׁמוֹנֶה,shemone,,
9️⃣,Keycap 9,Symbol,Number,תֵּשַׁע,tesha,,
#️⃣,Keycap Hash,Symbol,Number,סִימָן הָאֶשׁ,siman haesh,,
*️⃣,Keycap Asterisk,Symbol,Number,כּוֹכָבִית,kochavit,,
🇦🇨,Flag: Ascension Island,Flag,Africa,אָסֶנְשֶׁן,asenshen,,
🇦🇩,Flag: Andorra,Flag,Europe,אַנְדּוֹרָה,andora,,
🇦🇪,Flag: United Arab Emirates,Flag,Asia,אִחוּד הָאֱמִירֻיּוֹת הָעַרְבִיּוֹת,ichud haemiruyot haarviyot,,
🇦🇫,Flag: Afghanistan,Flag,Asia,אַפְגַּנִיסְטָן,afganistan,,
🇦🇬,Flag: Antigua & Barbuda,Flag,North America,אַנְטִיגוּאָה וּבַרְבּוּדָה,antigua uvarbuda,,
🇦🇮,Flag: Anguilla,Flag,North America,אַנְגִּילָה,angila,,
🇦🇱,Flag: Albania,Flag,Europe,אַלְבַּנְיָה,albanya,,
